Timestamp,RequestId,FunctionName,Duration,BilledDuration,MemorySize,MaxMemoryUsed,InitDuration
2025-03-20 07:13:54.289,eb76323a-caf8-4301-8b4b-8aa3fdc2dea0,slack_invitor_convention,1909.43,1910.0,128.0,79.0,273.63
2025-03-20 07:15:30.030,e6d092d2-334f-47a7-8120-b843ef6903a1,slack_invitor_convention,2047.3,2048.0,128.0,79.0,283.58
2025-03-20 07:19:48.135,76a5a1fc-85ca-4ce2-9fc8-64a8125932fe,slack_invitor_convention,1.79,2.0,128.0,59.0,298.0
2025-03-20 07:21:33.671,813b04b1-1722-45ef-b51b-f68fd00c94b1,slack_invitor_convention,1.8,2.0,128.0,59.0,
2025-03-20 07:23:33.777,acc557c8-eece-4159-a829-c966a7e81bf9,slack_invitor_convention,1.73,2.0,128.0,59.0,278.4
2025-03-20 07:26:03.405,163577e8-7148-4a8d-920c-c366b906cdb4,slack_invitor_convention,2525.92,2526.0,128.0,81.0,279.43
2025-03-20 07:29:53.912,28f047d6-d5ba-4b21-89bc-acd3bd0fa0b7,slack_invitor_convention,2502.92,2503.0,128.0,81.0,287.86
2025-03-20 07:31:52.744,46550fa1-9ef4-41b9-83b4-6ed3fdc71cc3,slack_invitor_convention,2499.19,2500.0,128.0,81.0,288.14
2025-03-20 07:32:05.744,bf59fd51-0737-482b-9086-912d68203428,slack_invitor_convention,433.04,434.0,128.0,81.0,
2025-03-20 07:32:26.304,a95400ca-2593-4bcc-9c01-a9888a59ca47,slack_invitor_convention,440.27,441.0,128.0,81.0,
2025-03-20 07:32:48.985,456128c2-d07d-4322-a6bd-de2d7963ee60,slack_invitor_convention,411.78,412.0,128.0,81.0,
2025-03-20 07:37:43.434,7e8184ff-6902-411d-9904-a1a4ee2a5b55,slack_invitor_convention,2554.39,2555.0,128.0,81.0,287.62
2025-03-20 07:38:35.814,2cb2dd80-1c1f-4eb9-b8ef-eb86ccb65423,slack_invitor_convention,393.79,394.0,128.0,81.0,
2025-03-20 07:39:22.294,a7287dd6-a26b-4e43-b874-098475542ab6,slack_invitor_convention,433.5,434.0,128.0,81.0,
2025-03-20 07:39:35.254,8efbb618-ca46-416f-a4ef-6a10a4938f99,slack_invitor_convention,408.66,409.0,128.0,81.0,
2025-03-20 07:55:22.803,1e49e38d-1a75-460f-8ac0-fe326984ba2e,slack_invitor_convention,2406.69,2407.0,128.0,81.0,283.62
2025-03-20 07:55:26.023,0464991b-600d-458e-9e5a-55cf1d33f006,slack_invitor_convention,414.38,415.0,128.0,81.0,
2025-03-20 08:16:02.991,9fa722d7-0251-45dd-ac66-729909e0a4ce,slack_invitor_convention,2506.72,2507.0,128.0,81.0,288.45
2025-03-20 08:16:05.371,10081498-5b7e-4b5c-b06e-d0a65d94c4d8,slack_invitor_convention,440.19,441.0,128.0,81.0,
2025-03-20 08:37:44.740,e6859d55-aaf0-46e2-b655-3caf2b3a4345,slack_invitor_convention,2835.04,2836.0,128.0,82.0,297.36
2025-03-20 08:37:48.179,a79b643c-ff8d-437b-bb12-b9f29c835bd8,slack_invitor_convention,449.31,450.0,128.0,82.0,
2025-03-20 08:37:57.261,b9056857-9c34-4513-9135-13fbde8d8f26,slack_invitor_convention,831.77,832.0,128.0,83.0,
2025-03-20 08:39:13.646,8cd35a3f-6ae4-4344-8078-95ae654d8dd4,slack_invitor_convention,2616.04,2617.0,128.0,82.0,286.63
2025-03-20 08:39:15.525,ddf76501-a231-4b65-924e-4cb2b53e7a82,slack_invitor_convention,415.02,416.0,128.0,82.0,
2025-03-20 08:39:23.185,7fd60c73-091d-4c7f-b202-07e68a3c6f1f,slack_invitor_convention,769.21,770.0,128.0,83.0,
2025-03-20 08:52:24.809,92b348ee-8fac-45e8-9247-e04b840cdfc2,slack_invitor_convention,2907.44,2908.0,128.0,82.0,347.59
2025-03-20 08:52:27.509,c861e31e-d425-4f78-940d-ac741f6bb8e9,slack_invitor_convention,758.56,759.0,128.0,83.0,
